,release_year,Adult,Kids,Older Kids,Teens,Movie,TV Show,show_duration,movie_duration
385,2021,1,0,0,0,1,0,0,81
386,2021,1,0,0,0,1,0,0,99
387,2021,1,0,0,0,1,0,0,107
388,2021,1,0,0,0,0,1,1,0
389,2021,1,0,0,0,1,0,0,107
390,2021,0,0,1,0,1,0,0,90
391,2018,1,0,0,0,1,0,0,104
392,2020,1,0,0,0,1,0,0,100
393,2021,1,0,0,0,1,0,0,102
394,2004,1,0,0,0,1,0,0,105
395,2018,1,0,0,0,1,0,0,107
396,2021,1,0,0,0,1,0,0,99
397,2021,0,0,0,1,1,0,0,102
398,2020,1,0,0,0,1,0,0,119
399,2019,0,0,1,0,1,0,0,86
400,2021,1,0,0,0,1,0,0,122
401,2017,1,0,0,0,1,0,0,95
402,2021,0,0,0,1,1,0,0,104
403,1999,1,0,0,0,1,0,0,118
404,2021,0,0,0,1,1,0,0,98
405,2021,1,0,0,0,1,0,0,99
406,2020,0,0,1,0,1,0,0,107
407,2017,1,0,0,0,1,0,0,97
408,2020,1,0,0,0,1,0,0,112
409,2013,1,0,0,0,1,0,0,118
410,2019,1,0,0,0,1,0,0,109
411,2018,1,0,0,0,1,0,0,109
412,2020,0,0,1,0,1,0,0,88
413,2006,1,0,0,0,1,0,0,97
414,1989,0,0,0,1,1,0,0,97
415,2010,1,0,0,0,1,0,0,95
416,2005,0,0,0,1,1,0,0,91
417,2010,1,0,0,0,1,0,0,115
418,2009,0,1,0,0,1,0,0,93
419,2018,1,0,0,0,1,0,0,109
420,2012,0,0,1,0,1,0,0,96
421,2003,1,0,0,0,1,0,0,138
422,2008,0,0,0,1,1,0,0,113
423,2018,1,0,0,0,1,0,0,94
424,2020,1,0,0,0,1,0,0,89
425,1994,0,0,0,1,1,0,0,121
426,2009,0,0,0,1,1,0,0,127
427,2018,0,0,0,1,1,0,0,94
428,2011,0,0,0,1,1,0,0,89
429,2009,0,0,0,1,1,0,0,136
430,2002,1,0,0,0,1,0,0,89
431,2000,1,0,0,0,1,0,0,99
432,2016,1,0,0,0,1,0,0,93
433,2018,0,0,1,0,1,0,0,85
434,1992,1,0,0,0,1,0,0,102
435,2008,1,0,0,0,1,0,0,101
436,2021,1,0,0,0,1,0,0,128
437,2018,1,0,0,0,1,0,0,85
438,2021,1,0,0,0,1,0,0,95
439,2014,1,0,0,0,1,0,0,121
440,2011,0,0,0,1,1,0,0,116
441,2018,1,0,0,0,1,0,0,91
442,2020,0,0,1,0,1,0,0,149
443,2019,0,0,0,1,1,0,0,113
444,2017,0,0,0,1,1,0,0,127
445,2016,0,0,0,1,1,0,0,101
446,2014,1,0,0,0,1,0,0,102
447,2013,1,0,0,0,1,0,0,102
448,2015,1,0,0,0,1,0,0,107
449,2004,1,0,0,0,1,0,0,123
450,2015,0,0,0,1,1,0,0,98
451,2021,1,0,0,0,1,0,0,95
452,2015,1,0,0,0,1,0,0,101
453,2015,1,0,0,0,1,0,0,104
454,2016,0,0,0,1,1,0,0,104
455,2021,0,0,0,1,0,1,1,0
